Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,037833100,AAPL ,"153,121,946","16,668,855,041.56",12.997,Apple Inc,Common Stock,Information Technology,10/30/2020
QQQ,594918104,MSFT ,"67,754,501","13,718,253,817.47",10.697,Microsoft Corp,Common Stock,Information Technology,10/30/2020
QQQ,023135106,AMZN ,"4,484,464","13,615,505,373.60",10.617,Amazon.com Inc,Common Stock,Consumer Discretionary,10/30/2020
QQQ,30303M102,FB ,"21,526,036","5,663,715,331.96",4.416,Facebook Inc,Common Stock,Communication Services,10/30/2020
QQQ,02079K305,GOOGL ,"3,086,578","4,988,249,571.58",3.890,Alphabet Inc,Common Stock,Communication Services,10/30/2020
QQQ,02079K107,GOOG ,"2,986,897","4,841,789,905.97",3.775,Alphabet Inc,Common Stock,Communication Services,10/30/2020
QQQ,88160R101,TSLA ,"10,641,997","4,129,520,515.88",3.220,Tesla Inc,Common Stock,Consumer Discretionary,10/30/2020
QQQ,67066G104,NVDA ,"7,046,505","3,532,835,746.80",2.755,NVIDIA Corp,Common Stock,Information Technology,10/30/2020
QQQ,70450Y103,PYPL ,"13,400,071","2,494,155,215.23",1.945,PayPal Holdings Inc,Common Stock,Information Technology,10/30/2020
QQQ,00724F101,ADBE ,"5,478,158","2,449,284,441.80",1.910,Adobe Inc,Common Stock,Information Technology,10/30/2020
QQQ,64110L106,NFLX ,"5,036,634","2,396,128,259.16",1.868,Netflix Inc,Common Stock,Communication Services,10/30/2020
QQQ,20030N101,CMCSA ,"52,063,340","2,199,155,481.60",1.715,Comcast Corp,Common Stock,Communication Services,10/30/2020
QQQ,458140100,INTC ,"48,572,550","2,150,792,514.00",1.677,Intel Corp,Common Stock,Information Technology,10/30/2020
QQQ,713448108,PEP ,"15,813,475","2,107,778,082.75",1.644,PepsiCo Inc,Common Stock,Consumer Staples,10/30/2020
QQQ,22160K105,COST ,"5,042,571","1,803,324,241.02",1.406,Costco Wholesale Corp,Common Stock,Consumer Staples,10/30/2020
QQQ,17275R102,CSCO ,"48,221,879","1,731,165,456.10",1.350,Cisco Systems Inc,Common Stock,Information Technology,10/30/2020
QQQ,11135F101,AVGO ,"4,566,020","1,596,417,572.60",1.245,Broadcom Inc,Common Stock,Information Technology,10/30/2020
QQQ,747525103,QCOM ,"12,885,768","1,589,588,340.48",1.239,QUALCOMM Inc,Common Stock,Information Technology,10/30/2020
QQQ,872590104,TMUS ,"14,136,702","1,548,958,438.14",1.208,T-Mobile US Inc,Common Stock,Communication Services,10/30/2020
QQQ,882508104,TXN ,"10,460,802","1,512,527,361.18",1.179,Texas Instruments Inc,Common Stock,Information Technology,10/30/2020
QQQ,031162100,AMGN ,"6,689,123","1,451,138,343.62",1.132,Amgen Inc,Common Stock,Health Care,10/30/2020
QQQ,16119P108,CHTR ,"2,339,984","1,412,929,138.88",1.102,Charter Communications Inc,Common Stock,Communication Services,10/30/2020
QQQ,855244109,SBUX ,"13,350,949","1,160,998,525.04",0.905,Starbucks Corp,Common Stock,Consumer Discretionary,10/30/2020
QQQ,007903107,AMD ,"13,408,717","1,009,542,302.93",0.787,Advanced Micro Devices Inc,Common Stock,Information Technology,10/30/2020
QQQ,98980L101,ZM ,"2,079,895","958,644,404.45",0.747,Zoom Video Communications Inc,Common Stock,Information Technology,10/30/2020
QQQ,461202103,INTU ,"2,989,993","940,890,997.24",0.734,Intuit Inc,Common Stock,Information Technology,10/30/2020
QQQ,46120E602,ISRG ,"1,336,625","891,635,805.00",0.695,Intuitive Surgical Inc,Common Stock,Health Care,10/30/2020
QQQ,609207105,MDLZ ,"16,312,759","866,533,758.08",0.676,Mondelez International Inc,Common Stock,Consumer Staples,10/30/2020
QQQ,47215P106,JD ,"10,482,763","854,554,839.76",0.666,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,10/30/2020
QQQ,375558103,GILD ,"14,318,421","832,616,181.15",0.649,Gilead Sciences Inc,Common Stock,Health Care,10/30/2020
QQQ,053015103,ADP ,"4,910,614","775,680,587.44",0.605,Automatic Data Processing Inc,Common Stock,Information Technology,10/30/2020
QQQ,09857L108,BKNG ,"467,695","758,835,137.50",0.592,Booking Holdings Inc,Common Stock,Consumer Discretionary,10/30/2020
QQQ,337738108,FISV ,"7,647,848","730,140,048.56",0.569,Fiserv Inc,Common Stock,Information Technology,10/30/2020
QQQ,126408103,CSX ,"8,737,544","689,741,723.36",0.538,CSX Corp,Common Stock,Industrials,10/30/2020
QQQ,58733R102,MELI ,"567,588","689,080,211.40",0.537,MercadoLibre Inc,Common Stock,Consumer Discretionary,10/30/2020
QQQ,00507V109,ATVI ,"8,815,413","667,591,226.49",0.521,Activision Blizzard Inc,Common Stock,Communication Services,10/30/2020
QQQ,75886F107,REGN ,"1,194,078","649,053,037.68",0.506,Regeneron Pharmaceuticals Inc,Common Stock,Health Care,10/30/2020
